Threads,Trials,MegaTrialsPerSecond
1,0,0.0
2,0,0.0
4,0,0.0
6,0,0.0
8,0,0.0
1,1000,25.1042
1,10000,17.1413
1,50000,15.6329
1,100000,15.5449
1,200000,15.493
1,300000,15.4947
1,400000,15.5009
1,500000,15.4957
2,1000,35.8
2,10000,30.8284
2,50000,29.3581
2,100000,29.1572
2,200000,29.1132
2,300000,29.0913
2,400000,29.1084
2,500000,29.0661
4,1000,25.2992
4,10000,29.5875
4,50000,28.9849
4,100000,28.8907
4,200000,28.9896
4,300000,28.9086
4,400000,28.9897
4,500000,28.951
6,1000,19.0883
6,10000,27.6583
6,50000,28.7342
6,100000,28.7847
6,200000,28.9162
6,300000,28.8908
6,400000,28.9194
6,500000,28.9271
8,1000,15.2107
8,10000,24.9959
8,50000,28.4765
8,100000,28.7016
8,200000,28.8896
8,300000,28.8468
8,400000,28.8877
8,500000,28.878
